Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
Git,pofavo,💛,1,1,1.0
pofavo,💛,</s>,1,1,1.0
💛,</s>,<s>,1,1,1.0
<s>,Ahorita,las,1,2,0.5
Ahorita,las,agrego,1,1,1.0
las,agrego,chicas,1,1,1.0
agrego,chicas,💖,1,1,1.0
chicas,💖,</s>,1,1,1.0
<s>,Chicas,les,1,6,0.16666666666666666
Chicas,les,pedi,1,1,1.0
les,pedi,a,1,1,1.0
pedi,a,Axel,1,1,1.0
a,Axel,que,1,1,1.0
Axel,que,les,1,1,1.0
que,les,mandara,1,1,1.0
les,mandara,la,1,1,1.0
mandara,la,invitacion,1,1,1.0
la,invitacion,porque,1,1,1.0
invitacion,porque,en,1,1,1.0
porque,en,la,1,1,1.0
en,la,chamba,1,13,0.07692307692307693
la,chamba,no,1,1,1.0
chamba,no,podia,1,1,1.0
no,podia,mandarla,1,1,1.0
podia,mandarla,❤️‍🩹,1,1,1.0
mandarla,❤️‍🩹,</s>,1,1,1.0
❤️‍🩹,</s>,<s>,1,1,1.0
<s>,Chicas,me,1,6,0.16666666666666666
Chicas,me,dieron,1,1,1.0
me,dieron,de,1,1,1.0
dieron,de,baja,1,1,1.0
de,baja,mi,1,1,1.0
baja,mi,servicio,1,1,1.0
mi,servicio,social,1,1,1.0
servicio,social,pipipo,1,1,1.0
social,pipipo,</s>,1,1,1.0
pipipo,</s>,<s>,1,1,1.0
<s>,Que,es,1,6,0.16666666666666666
Que,es,lo,1,1,1.0
es,lo,que,1,1,1.0
lo,que,tengo,1,5,0.2
que,tengo,que,1,1,1.0
tengo,que,hacer,1,1,1.0
que,hacer,para,1,1,1.0
hacer,para,meterlo,1,1,1.0
para,meterlo,con,1,1,1.0
meterlo,con,el,1,1,1.0
con,el,profe,1,2,0.5
el,profe,Felix?,1,1,1.0
profe,Felix?,</s>,1,1,1.0
Felix?,</s>,<s>,1,1,1.0
<s>,Ya,para,1,12,0.08333333333333333
Ya,para,</s>,1,1,1.0
para,</s>,<s>,1,1,1.0
</s>,<s>,mas,1,395,0.002531645569620253
<s>,mas,seguro,1,1,1.0
mas,seguro,</s>,1,1,1.0
Pues,como,andan,1,2,0.5
como,andan,cambiando,1,1,1.0
andan,cambiando,de,1,1,1.0
cambiando,de,personal,1,1,1.0
de,personal,y,1,1,1.0
personal,y,</s>,1,1,1.0
y,</s>,<s>,1,1,1.0
</s>,<s>,eso,1,395,0.002531645569620253
<s>,eso,</s>,1,1,1.0
eso,</s>,<s>,1,1,1.0
Pues,como,salgo,1,2,0.5
como,salgo,1:30,1,1,1.0
salgo,1:30,</s>,1,1,1.0
</s>,<s>,Luego,1,395,0.002531645569620253
<s>,Luego,llegaba,1,1,1.0
Luego,llegaba,como,1,1,1.0
llegaba,como,15,1,1,1.0
como,15,minutos,1,1,1.0
15,minutos,después,1,1,1.0
minutos,después,</s>,1,1,1.0
después,</s>,<s>,1,1,1.0
<s>,De,mi,1,2,0.5
De,mi,hora,1,1,1.0
mi,hora,de,1,1,1.0
hora,de,entrada,1,1,1.0
de,entrada,</s>,1,1,1.0
entrada,</s>,<s>,1,1,1.0
<s>,Entonces,toca,1,4,0.25
Entonces,toca,empezar,1,1,1.0
toca,empezar,otra,1,1,1.0
empezar,otra,vez,1,1,1.0
Por,eso,les,1,2,0.5
eso,les,pregunto,1,1,1.0
les,pregunto,</s>,1,1,1.0
pregunto,</s>,<s>,1,1,1.0
<s>,Creo,</s>,1,3,0.3333333333333333
Creo,</s>,<s>,1,1,1.0
<s>,que,no,1,2,0.5
que,no,Mily,1,13,0.07692307692307693
<s>,Si,pofavo,1,69,0.014492753623188406
Si,pofavo,</s>,1,1,1.0
<s>,Vale,Citlalli,1,2,0.5
Vale,Citlalli,</s>,1,1,1.0
<s>,Pero,yo,1,13,0.07692307692307693
Pero,yo,creo,1,1,1.0
yo,creo,que,1,1,1.0
que,sería,igual,1,2,0.5
sería,igual,que,1,1,1.0
igual,que,ustedes,1,1,1.0
que,ustedes,</s>,1,1,1.0
ustedes,</s>,<s>,1,1,1.0
<s>,Porque,no,1,8,0.125
Porque,no,creo,1,1,1.0
no,creo,que,1,1,1.0
creo,que,tenga,1,6,0.16666666666666666
que,tenga,lugar,1,1,1.0
tenga,lugar,</s>,1,1,1.0
lugar,</s>,<s>,1,1,1.0
<s>,Pero,de,1,13,0.07692307692307693
Pero,de,todas,1,1,1.0
todas,maneras,le,1,2,0.5
maneras,le,podrías,1,1,1.0
le,podrías,preguntar,1,1,1.0
podrías,preguntar,Mily,1,1,1.0
preguntar,Mily,pofavo,1,1,1.0
Mily,pofavo,</s>,1,1,1.0
</s>,<s>,🙏,1,395,0.002531645569620253
<s>,🙏,</s>,1,1,1.0
🙏,</s>,<s>,1,1,1.0
</s>,<s>,Muchas,1,395,0.002531645569620253
<s>,Muchas,gracias,1,1,1.0
Muchas,gracias,Mily,1,1,1.0
<s>,Así,me,1,2,0.5
Así,me,quede,1,1,1.0
me,quede,Citlalli,1,1,1.0
quede,Citlalli,pipipi,1,1,1.0
Citlalli,pipipi,</s>,1,1,1.0
Si,Citlalli,eso,1,6,0.16666666666666666
