Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
y,eliminación,1,60,0.016666667
eliminación,estricta,1,1,1
estricta,de,1,1,1
de,"artículos,",1,74,0.013513514
"artículos,","preposiciones,",1,1,1
"preposiciones,",conjunciones,1,1,1
conjunciones,y,1,1,1
y,pronombres,1,60,0.016666667
pronombres,</s>,1,1,1
que,es,1,97,0.010309278
es,igual,1,25,0.04
igual,como,1,2,0.5
como,lo,1,8,0.125
lo,mande,1,31,0.032258065
mande,antes,1,1,1
antes,</s>,1,1,1
Quedo,chido,1,3,0.333333333
chido,Muchas,1,4,0.25
Vamos,a,1,2,0.5
a,presentarlo,1,72,0.013888889
presentarlo,hoy?,1,1,1
hoy?,</s>,1,1,1
Con,las,1,3,0.333333333
pruebas,que,1,2,0.5
que,puso,1,97,0.010309278
el,"Teams,",1,59,0.016949153
"Teams,",tenemos,1,1,1
tenemos,que,1,4,0.25
que,poner,1,97,0.010309278
poner,con,1,1,1
10,más,1,4,0.25
más,similares,1,8,0.125
similares,de,1,1,1
las,18,1,40,0.025
18,comparaciones,1,2,0.5
comparaciones,de,1,1,1
de,cada,1,74,0.013513514
cada,una,1,2,0.5
una,</s>,1,9,0.111111111
Entonces,serían,1,5,0.2
serían,5,1,1,1
5,tablas,1,3,0.333333333
tablas,</s>,1,1,1
Si,sólo,1,11,0.090909091
sólo,estaba,1,6,0.166666667
estaba,anotando,1,2,0.5
anotando,lo,1,1,1
que,dijo,1,97,0.010309278
dijo,el,1,3,0.333333333
profe,ahorita,1,6,0.166666667
Ok,según,1,5,0.2
según,lo,1,1,1
que,entendí,1,97,0.010309278
entendí,pues,1,1,1
pues,mañana,1,2,0.5
a,revisar,1,72,0.013888889
revisar,nada,1,1,1
nada,solo,1,2,0.5
solo,para,1,5,0.2
para,aquellos,1,28,0.035714286
aquellos,que,1,1,1
profe,les,1,6,0.166666667
les,hizo,1,6,0.166666667
hizo,alguna,1,1,1
alguna,"observación,",1,2,0.5
"observación,",ahorita,1,1,1
ahorita,lo,1,4,0.25
que,queda,1,97,0.010309278
queda,es,1,1,1
es,simplemente,1,25,0.04
simplemente,subir,1,1,1
subir,la,1,2,0.5
evidencia,al,1,2,0.5
al,Teams,1,14,0.071428571
Teams,</s>,1,1,1
profe,ya,1,6,0.166666667
ya,dió,1,25,0.04
dió,calificaciones,1,1,1
calificaciones,de,1,1,1
de,primer,1,74,0.013513514
primer,parcial,1,1,1
parcial,o,1,1,1
o,dijo,1,6,0.166666667
dijo,algo?,1,3,0.333333333
algo?,</s>,1,1,1
<s>,"Rolon,",1,488,0.00204918
"Rolon,",estas,1,1,1
estas,seguro,1,2,0.5
seguro,que,1,1,1
que,funciona,1,97,0.010309278
funciona,bien,1,2,0.5
bien,el,1,23,0.043478261
el,codigo?,1,59,0.016949153
codigo?,</s>,1,1,1
Es,que,1,3,0.333333333
que,estoy,1,97,0.010309278
estoy,haciendo,1,18,0.055555556
haciendo,las,1,3,0.333333333
las,evidencias,1,40,0.025
evidencias,y,1,1,1
y,comprobando,1,60,0.016666667
comprobando,que,1,1,1
que,tal,1,97,0.010309278
tal,va,1,1,1
va,pero,1,8,0.125
pero,si,1,13,0.076923077
si,tiene,1,15,0.066666667
tiene,similitudes,1,3,0.333333333
similitudes,muy,1,1,1
muy,bajas,1,8,0.125
bajas,y,1,1,1
y,hay,1,60,0.016666667
hay,noticias,1,4,0.25
noticias,que,1,4,0.25
no,tienen,1,25,0.04
tienen,ninguna,1,3,0.333333333
ninguna,palabra,1,1,1
palabra,igual.,1,2,0.5
igual.,</s>,1,1,1
<s>,Emily,1,488,0.00204918
Emily,podrías,1,5,0.2
podrías,hacer,1,1,1
hacer,las,1,8,0.125
pruebas,con,1,2,0.5
con,el,1,23,0.043478261
codigo,de,1,3,0.333333333
de,Axel,1,74,0.013513514
Axel,para,1,1,1
para,saber,1,28,0.035714286
saber,si,1,2,0.5
es,normal,1,25,0.04
normal,esto?,1,1,1
esto?,</s>,1,1,1
Oh,ya,1,2,0.5
ya,vi,1,25,0.04
vi,cual,1,1,1
cual,es,1,1,1
un,"problema,",1,17,0.058823529
"problema,",son,1,1,1
los,"acentos,",1,24,0.041666667
"acentos,",no,1,1,1
no,los,1,25,0.04
los,identifica,1,24,0.041666667
identifica,bien,1,1,1
bien,aunque,1,23,0.043478261
aunque,sea,1,1,1
sea,la,1,3,0.333333333
misma,palabra,1,3,0.333333333
palabra,</s>,1,2,0.5
<s>,"Como,",1,488,0.00204918
"Como,",pero,1,1,1
ya,entregaron,1,25,0.04
entregaron,ustedes,1,1,1
ustedes,la,1,3,0.333333333
la,evidencia?,1,89,0.011235955
evidencia?,</s>,1,1,1
Ah,vale,1,3,0.333333333
vale,va,1,1,1
va,</s>,1,8,0.125
Me,pasan,1,5,0.2
pasan,sus,1,1,1
sus,nombres,1,4,0.25
nombres,completos,1,1,1
completos,por,1,1,1
por,fa?,1,20,0.05
fa?,</s>,1,1,1
Si,también,1,11,0.090909091
también,le,1,4,0.25
