Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
mily,sin,1,3,0.3333333333333333
sin,problema,1,4,0.25
problema,</s>,1,1,1.0
si,tienen,1,37,0.02702702702702703
tienen,el,1,1,1.0
el,formato?,1,27,0.037037037037037035
formato?,</s>,1,1,1.0
<s>,Ese,1,396,0.0025252525252525255
Ese,fue,1,1,1.0
el,ultimo,1,27,0.037037037037037035
ultimo,que,1,1,1.0
es,de,1,23,0.043478260869565216
de,agosto,1,43,0.023255813953488372
agosto,</s>,1,1,1.0
Sip,de,1,3,0.3333333333333333
nada,🫰,1,7,0.14285714285714285
Chicas,hablando,1,6,0.16666666666666666
hablando,de,1,1,1.0
los,cambios,1,7,0.14285714285714285
cambios,hice,1,2,0.5
hice,ya,1,4,0.25
ya,unos,1,21,0.047619047619047616
unos,cambios,1,1,1.0
cambios,a,1,2,0.5
la,base,1,53,0.018867924528301886
base,de,1,1,1.0
de,datos,1,43,0.023255813953488372
<s>,Asi,1,396,0.0025252525252525255
Asi,la,1,1,1.0
la,deje,1,53,0.018867924528301886
deje,</s>,1,1,1.0
Chicas,cuando,1,6,0.16666666666666666
cuando,puedan,1,3,0.3333333333333333
puedan,me,1,1,1.0
me,pasan,1,24,0.041666666666666664
pasan,su,1,1,1.0
su,usuario,1,3,0.3333333333333333
usuario,de,1,1,1.0
de,Git,1,43,0.023255813953488372
Git,pofavo,1,1,1.0
pofavo,💛,1,6,0.16666666666666666
💛,</s>,1,1,1.0
Ahorita,las,1,2,0.5
las,agrego,1,12,0.08333333333333333
agrego,chicas,1,1,1.0
chicas,💖,1,3,0.3333333333333333
Chicas,les,1,6,0.16666666666666666
les,pedi,1,5,0.2
pedi,a,1,1,1.0
a,Axel,1,24,0.041666666666666664
Axel,que,1,3,0.3333333333333333
que,les,1,96,0.010416666666666666
les,mandara,1,5,0.2
mandara,la,1,1,1.0
la,invitacion,1,53,0.018867924528301886
invitacion,porque,1,1,1.0
porque,en,1,6,0.16666666666666666
la,chamba,1,53,0.018867924528301886
chamba,no,1,1,1.0
no,podia,1,44,0.022727272727272728
podia,mandarla,1,1,1.0
mandarla,❤️‍🩹,1,1,1.0
❤️‍🩹,</s>,1,1,1.0
Chicas,me,1,6,0.16666666666666666
me,dieron,1,24,0.041666666666666664
dieron,de,1,1,1.0
de,baja,1,43,0.023255813953488372
baja,mi,1,1,1.0
mi,servicio,1,14,0.07142857142857142
servicio,social,1,2,0.5
social,pipipo,1,1,1.0
pipipo,</s>,1,1,1.0
Que,es,1,6,0.16666666666666666
es,lo,1,23,0.043478260869565216
que,tengo,1,96,0.010416666666666666
tengo,que,1,7,0.14285714285714285
que,hacer,1,96,0.010416666666666666
hacer,para,1,2,0.5
para,meterlo,1,21,0.047619047619047616
meterlo,con,1,1,1.0
